identifier	batch
SRR1355150	GTEx_polyA
SRR1355262	GTEx_polyA
SRR1355373	GTEx_polyA
SRR1355595	GTEx_polyA
SRR1355613	GTEx_polyA
SRR1355635	GTEx_polyA
SRR1356036	GTEx_polyA
SRR1356204	GTEx_polyA
SRR1356375	GTEx_polyA
SRR1356444	GTEx_polyA
SRR1356619	GTEx_polyA
SRR1357021	GTEx_polyA
SRR1357189	GTEx_polyA
SRR1357413	GTEx_polyA
SRR1357434	GTEx_polyA
SRR1357478	GTEx_polyA
SRR1357523	GTEx_polyA
SRR1358102	GTEx_polyA
SRR1358183	GTEx_polyA
SRR1358501	GTEx_polyA
SRR1358561	GTEx_polyA
SRR1358689	GTEx_polyA
SRR1358826	GTEx_polyA
SRR1359123	GTEx_polyA
SRR1359171	GTEx_polyA
SRR1359192	GTEx_polyA
SRR1359367	GTEx_polyA
SRR1359388	GTEx_polyA
SRR1359630	GTEx_polyA
SRR1359649	GTEx_polyA
SRR1359673	GTEx_polyA
SRR1360038	GTEx_polyA
SRR1360104	GTEx_polyA
SRR1360128	GTEx_polyA
SRR1360150	GTEx_polyA
SRR1360383	GTEx_polyA
SRR1360563	GTEx_polyA
SRR1360674	GTEx_polyA
SRR1360718	GTEx_polyA
SRR1360744	GTEx_polyA
SRR1360868	GTEx_polyA
SRR1361567	GTEx_polyA
SRR1361674	GTEx_polyA
SRR1361714	GTEx_polyA
SRR1361736	GTEx_polyA
SRR1361757	GTEx_polyA
SRR1361795	GTEx_polyA
SRR1362060	GTEx_polyA
SRR1362183	GTEx_polyA
SRR1362417	GTEx_polyA
SRR1362464	GTEx_polyA
SRR1362532	GTEx_polyA
SRR1362643	GTEx_polyA
SRR1362777	GTEx_polyA
SRR1362888	GTEx_polyA
SRR1363633	GTEx_polyA
SRR1363810	GTEx_polyA
SRR1363992	GTEx_polyA
SRR1364676	GTEx_polyA
SRR1364739	GTEx_polyA
SRR1364800	GTEx_polyA
SRR1364893	GTEx_polyA
SRR1365828	GTEx_polyA
SRR1365987	GTEx_polyA
SRR1366057	GTEx_polyA
SRR1366141	GTEx_polyA
SRR1366433	GTEx_polyA
SRR1366579	GTEx_polyA
SRR1366961	GTEx_polyA
SRR1367128	GTEx_polyA
SRR1367870	GTEx_polyA
SRR1367943	GTEx_polyA
SRR1368178	GTEx_polyA
SRR1368222	GTEx_polyA
SRR1368772	GTEx_polyA
SRR1368835	GTEx_polyA
SRR1368856	GTEx_polyA
SRR1368964	GTEx_polyA
SRR1369148	GTEx_polyA
SRR1369219	GTEx_polyA
SRR1370129	GTEx_polyA
SRR1370173	GTEx_polyA
SRR1370240	GTEx_polyA
SRR1370262	GTEx_polyA
SRR1370405	GTEx_polyA
SRR1370473	GTEx_polyA
SRR1370619	GTEx_polyA
SRR1370797	GTEx_polyA
SRR1373858	GTEx_polyA
SRR1373940	GTEx_polyA
SRR1374115	GTEx_polyA
SRR1374221	GTEx_polyA
SRR1374246	GTEx_polyA
SRR1375203	GTEx_polyA
SRR1375271	GTEx_polyA
SRR1375308	GTEx_polyA
SRR1375571	GTEx_polyA
SRR1375616	GTEx_polyA
SRR1375635	GTEx_polyA
SRR1375907	GTEx_polyA
SRR1375927	GTEx_polyA
SRR1375952	GTEx_polyA
SRR1375976	GTEx_polyA
SRR1376270	GTEx_polyA
SRR1376597	GTEx_polyA
